@AppleSupport are the call centres closed for the night?,,,,,,,,,,,,,,,,,COMPLAIN,(OR SUGGEST)
@AppleSupport I am from India and I want to order the iPhone X from Dubai? Is that possible from your Apple store? Can I make that happen?,,,,,,,,,,,,,,,,,,
"@AppleSupport @115858 sometimes I get these emails that are full of dates, times, and things to do that I wish I could just take a screenshot of it and attach in my calendar. Is this a possibility?",,,,,,,,,,,,,,,,,,
"@AppleSupport A complete muck up from High Sierra. Desktop now will not boot up, will not start in Safe Mode, or any mode. Cannot access Disk Utility. Looks like your Apple software ate itself and loads of pre-2014 computers. Whaaaat?",,,,,,,,,,,,,,,,,,
"@AppleSupport Aha ... Use Classic Layout, right? Seems to work!",,,,,,,,,,,,,,,,,,
@115948 @AppleSupport It would be nice if i could get a response?!,,,,,,,,,,,,,,,,,,
Everytime I open my @115948 it freezes and I have the latest update. Help!? @AppleSupport,,,,,,,,,,,,,,,,,,
"@AppleSupport Hi I would like to ask a question about the iPhone X, Is it alright if is swim with it if I have a screen protector on it?",,,,,,,,,,,,,,,,,,
@115858 @AppleSupport When will CarKit give access to GPS navigation apps?,,,,,,,,,,,,,,,,,,
"Dear @AppleSupport, I get a trouble with #itunesx64. It can not connect with #ip6s at #ios11_2_5. What's wrong?",,,,,,,,,,,,,,,,,,
"@AppleSupport on my iPad 2 (iOS 9.3.5), I can't backup to iCloud, iBooks doesn't show my books in iCloud. Can't see what I've purchased in AppStore, iBooks, iTunes, Music, Videos. I reset it and found no iCloud backups when there should be. Any ideas?",,,,,,,,,,,,,,,,,,
"@AppleSupport Hi - a friend of mine just got an Apple Watch Series 3, but can't quick reply to Whatsapp notifications on watch. I can on my series 2... Any suggestions as to why? He gets the notification, but no reply option. Thanks in advance.",,,,,,,,,,,,,,,,,,
So I've had my iphone 6s LESS than a day and already it's doing what my iPhone 6 was doing... keeps restarting even though I've got the latest update on my current phone? Whats going on @AppleSupport,,,,,,,,,,,,,,,,,,
@AppleSupport hi i just lost my iphone 7 plus. Can you block my imei and no one can not use my iphone?,,,,,,,,,,,,,,,,,,
"I got my phone fixed 2 weeks ago and I just dropped my phone with a case on it ON CARPET from at MOST four feet, and my screen shattered.... @AppleSupport how?",,,,,,,,,,,,,,,,,,
@AppleSupport third pair of lightning cable headphones have broken in a year with only one headphone carrying sound...why does this keep happening? Just made cheap? May be time to get a new product.,,,,,,,,,,,,,,,,,,
My MacBook prioritized the tethering internet from my #iphoneX over Wifi and @5148 now slows me down to unusable internet speeds. Any advice to circumvent that @AppleSupport ? @136635,,,,,,,,,,,,,,,,,,
My iPhone podcasts app is so jacked up! Have to restart phone EVERY time I want to listen to podcast. Anyone else having issues? About to look into 3rd party app... @applesupport @318,,,,,,,,,,,,,,,,,,
@AppleSupport How can I know where this device is coming from or if the device is new or refurbished?,,,,,,,,,,,,,,,,,,
"@AppleSupport Can you please be more specific? I will be given a new device, they said, which is not in a sealed box. Is that the correct procedure?",,,,,,,,,,,,,,,,,,
"@AppleSupport The device was taken to the service, not mailed. Will I receive just a device without box then?",,,,,,,,,,,,,,,,,,
"Hey @AppleSupport if I get a replacement for my device because it was defective, will it come in a sealed package as the first I got from the shop or I will get just a device without box?",,,,,,,,,,,,,,,,,,
@AppleSupport why is the icon for certain apps in the @118936 different than the ones that dlonwload to my home screen?,,,,,,,,,,,,,,,,,,
@AppleSupport Hey! I don't see anymore the link to create an app-specific passcode... Where is this now?! =(,,,,,,,,,,,,,,,,,,
"@AppleSupport False alarm in Apple Watch , without using Apple Watch send elevated heart rate notification. How come ? Is it known issue in Apple Watch . I m using series one Watch .",,,,,,,,,,,,,,,,,,
@AppleSupport why tf does my wifi n bluetooth turn on by its self after I turn it off?,,,,,,,,,,,,,,,,,,
"@AppleSupport before the latest iOS update my 16 GB ipad could correctly optimise the iCloud Photo Library storage. But now storage usage of Photos on the iPad is ballooning, making the iPad unusable. Is there any way to flush the locally stores pictures?",,,,,,,,,,,,,,,,,,
@AppleSupport any special reason why my phone has randomly shut off three times since upgrading to iOS 11.1.2?,,,,,,,,,,,,,,,,,,
@AppleSupport Is there any way to check the overall battery health of my iPhone 6?,,,,,,,,,,,,,,,,,,
Hey @AppleSupport could you make it more impossible and frustrating to get a Genius Bar Reservation for an elderly person? Ridiculous.,,,,,,,,,,,,,,,,,,
"@AppleSupport CAN I PLEASE TALK TO A REAL PERSON, and not an automated voice? I've been on hold for 45 mins, got hung up on. I need your HELP LIKE NOW!!",,,,,,,,,,,,,,,,,,
"@AppleSupport, did #HighSierra kill my old trackpad?  After the recent update, no more trackpad. Bounces between connected and mostly not.",,,,,,,,,,,,,,,,,,
Hey @AppleSupport - Over the last few days my messages app on  my iMac and MBA stopped syncing with my iMessages from my iOS devices.  Any ideas on how to fix this problem?  I've lost one of my favorite parts of #AppleSimplicity,,,,,,,,,,,,,,,,,,
@AppleSupport Zouden jullie mij uit kunnen leggen waarom mijn telefoon ineens geen geheugenruimte meer over heeft terwijl ik er al van alles heb afgegooid? En dit tot grote ergernis blijft doen?,,,,,,,,,,,,,,,,,,
@AppleSupport I know these. iphone 6+. I started having problems after installing iOS 11 when everything was normal. and now I'm going back too! Did you understand me?,,,,,,,,,,,,,,,,,,
The new update to my #iMac messed up my play/pause button. It no longer controls Spotify but the videos on my facebook timeline and inside safari. @AppleSupport How do I fix this?,,,,,,,,,,,,,,,,,,
"@AppleSupport On iOS 11, the video player shows a scrubbing speed tip every time I scrub for a while. Useful the 1st / 2nd time, but maybe not the gazillionth time. Is there a way to turn it off?",,,,,,,,,,,,,,,,,,
@AppleSupport Is there a way to save the photos you have on a external hard drive to iCloud?,,,,,,,,,,,,,,,,,,
"Hi @AppleSupport. I keep my personal iPhone 6S in my pocket. Any time I also carry my work iPhone 6 in my bag, the steps count from both devices seem to get added together in the Health app. Is there a way to stop this please? It didn't happen in iOS 10.",,,,,,,,,,,,,,,,,,
@AppleSupport Any comment on if restarting to factory settings then downloading all software then loading back up will do anything?,,,,,,,,,,,,,,,,,,
@AppleSupport How do I clear analytic data from my iPhone? (yes its turned off) but it's being stored anyways. Bad enough your os is 4gb.,,,,,,,,,,,,,,,,,,
Yo @AppleSupport - my wifes iPhone 6s drops from 80% battery to 20% in seconds. 5 minutes later it'll be at 5%. You plug it back in and it'll immediately jump back up to 75%. What's up with that?,,,,,,,,,,,,,,,,,,
"Why is every picture I take with my #iphoneX with flash on, I get red eyes??? I never had this issue with my previous #iphone help @AppleSupport @115858",,,,,,,,,,,,,,,,,,
@AppleSupport Hi there! How to restore my restriction password on my iPhone? It will be a great help!,,,,,,,,,,,,,,,,,,
"@AppleSupport Hi, how can I check my iPhone's battery health? Any way without going to an Apple Store?",,,,,,,,,,,,,,,,,,
Why does my Siri sound fucked up!!! Anyone else having this problem?? @AppleSupport,,,,,,,,,,,,,,,,,,
@AppleSupport where do we forward fake Apple emails?,,,,,,,,,,,,,,,,,,
@AppleSupport why have you taken my Apple subscription twice within two days?,,,,,,,,,,,,,,,,,,
"@AppleSupport Do I have to buy an iPhone 8 directly from Apple to be eligible for AppleCare+ or can I buy the phone separately and add AC+ afterwards, as long as it's within 60 days of my purchase?",,,,,,,,,,,,,,,,,,
@AppleSupport Same bug in my #iPhone7 as in my #iPhone5s: Volume increases without touching the buttons or the display? #iOS11,,,,,,,,,,,,,,,,,,
Are #refurbished iPads used less than a month? 30 day return policy from most stores!! @118936 @AppleSupport @115858,,,,,,,,,,,,,,,,,,
"@AppleSupport  I have a problem with my iPhone. I typed the code too many times and now my device is disabled. If I set it to recovery mode and want to restore it, the iPhone won't be reset. I also can not use iTunes because I can not access the homescreen, what can i do?",,,,,,,,,,,,,,,,,,
"@AppleSupport hi, since upgrading iOS I can no longer take screenshots. Has this feature been removed?",,,,,,,,,,,,,,,,,,
"In NYC.Have free data roaming. iPhone keeps losing 3G signal. If I turn airplane mode on and off again, I get 3G for about a minute, then lose it again.Anyone any ideas for a fix?@122326 @applesupport",,,,,,,,,,,,,,,,,,
"@AppleSupport Hi, any thoughts on why my iPhone is suddenly making a crackling sound when I refresh Twitter, as  an example. Sounds vaguely like an electrical interference?  Thanks.",,,,,,,,,,,,,,,,,,
"Hey @115858 and @AppleSupport Is it possible to set multiple timers on iPhone or with Siri? I have timers for potatoes I need timers for turkey, Ham, potatoes, you name it. Only one timer is nothing but a novelty",,,,,,,,,,,,,,,,,,
@AppleSupport Is IOS 10.3.3 still being signed?,,,,,,,,,,,,,,,,,,
@AppleSupport Is it still possible to install IOS 10.3.3 on iPhone 6s?,,,,,,,,,,,,,,,,,,
"@AppleSupport doesnt work the profile isnt on my users and groups, it shouldnt exist its obviously a software glitch or something?",,,,,,,,,,,,,,,,,,
how to transfer my Apple Watch on my new iPhone ? and for AirPods too pls @AppleSupport,,,,,,,,,,,,,,,,,,
Does anyone know how to unpair an @115858 Watch without the original phone? @AppleSupport?,,,,,,,,,,,,,,,,,,
@AppleSupport anyway to check the overall battery health of my iPhone?,,,,,,,,,,,,,,,,,,
@AppleSupport Hi I updated software on Monday to 11.1.2 and since then my battery has been draining very quickly can you help?,,,,,,,,,,,,,,,,,,
@AppleSupport help ?,,,,,,,,,,,,,,,,,,
"@AppleSupport do you have a problem in your servers ?I updated my Iphone 7, asked me to login to itunes, but it won't do it, a message: ""There was a problem connecting to the server...etc"" and another message: ""KVC synchronizeWithCompletionHandler Failed""how to fix it please ?",,,,,,,,,,,,,,,,,,
@AppleSupport Is the Space Grey 64GB iPhone X in stock in Montreal? (Ste-Catherine store),,,,,,,,,,,,,,,,,,
"@AppleSupport hi you guys, can you finally fix the problem with battery drain on iphone 6? thx",,,,,,,,,,,,,,,,,,
@AppleSupport Do you not have an email I could contact? I'm not really able to make a call with no phone..,,,,,,,,,,,,,,,,,,
@AppleSupport My phone got stolen but i can't change my apple id password because of the 2 step verification that requires my phone! Do you have a uk based email that i can contact about this?,,,,,,,,,,,,,,,,,,
Question @AppleSupport - I need to transfer my AppleCare to a new device. Can I do that online?,,,,,,,,,,,,,,,,,,
"@AppleSupport received email that seems fraudulent. Says my ID used in Mexico. Have not been in Mex.  My computer is ""suspicious"" of the link to unlock. Need help but it's getting late in UK. Help?",,,,,,,,,,,,,,,,,,
"@AppleSupport Hey, just curious, do people have to pay for support now when calling in?",,,,,,,,,,,,,,,,,,
"@AppleSupport So guys, any plans for a new update? cause this 11.1.2 just drain my batery with no reason. I cant put my phone on charger 3x per day. Come on",,,,,,,,,,,,,,,,,,
MY PHONE WONT FUCKING GO OFF HEADPHONE MODE @AppleSupport thoughts?,,,,,,,,,,,,,,,,,,
@AppleSupport How comes the UK website is down?,,,,,,,,,,,,,,,,,,
"@AppleSupport how do I turn Live Photos OFF by default, and HDR ON by default? The current default setup makes no sense.",,,,,,,,,,,,,,,,,,
@AppleSupport why every time I go to update of download an app I have to turn my phone on and off for it to work!?,,,,,,,,,,,,,,,,,,
@AppleSupport dear apple! the inability to use the podcast app to its full extend (search new PCs) really is annoying. when will u fix this?,,,,,,,,,,,,,,,,,,
"@AppleSupport Hi, I have an iphone 6. Should i upgrade to IOS 11 ?",,,,,,,,,,,,,,,,,,
"Anyone knows how to disconnect from iCloud? Last iOS update transferred my files to the iCloud (!). If I try to turn it off, it offers to delete my files from the computer and store them in the iCloud. What the hell is going on, @AppleSupport?",,,,,,,,,,,,,,,,,,
"Hey @AppleSupport, third MacBook retina display with stain problem. Getting tired of spending time and money to fix it, what do I do???",,,,,,,,,,,,,,,,,,
@AppleSupport Hello @AppleSupport? Are you still there?,,,,,,,,,,,,,,,,,,
"Hi @AppleSupport, could you pls explain why, since I downloaded yr iOS update, my iPhone crashes at 10%,  20%, even 40% battery? Massively inconvenient at best.",,,,,,,,,,,,,,,,,,
"@AppleSupport How long do I have to wait after ""invalid verification code entered too many times""? I can't update/download any apps",,,,,,,,,,,,,,,,,,
@AppleSupport How can I tell if I need a new battery for my iPhone 6S?,,,,,,,,,,,,,,,,,,
"@AppleSupport I have a question, if I were to get a new computer, how would I transfer my songs on iTunes on my old computer to iTunes on my new computer? Asking because I may get a new computer",,,,,,,,,,,,,,,,,,
@AppleSupport can you tell me why the new updates now make my iphone6s die at 40% battery? Or if charged overnight to 100% it dies as soon as its unlocked,,,,,,,,,,,,,,,,,,
@AppleSupport Any idea when the #AirPower will be released?? @115858 #Apple,,,,,,,,,,,,,,,,,,
@AppleSupport Hey I'm having trouble with a defective iPhone. It's impossible to pick up signal with this phone. Can you please help me? Thanks!,,,,,,,,,,,,,,,,,,
@AppleSupport if you accidentally text a number that you've blocked will that message be received by them?,,,,,,,,,,,,,,,,,,
@AppleSupport is the Animal Crossing game on the Mac App Store?,,,,,,,,,,,,,,,,,,
"@AppleSupport ""we're here to provide tips, tricks and helpful information"" ok so can you help me then?",,,,,,,,,,,,,,,,,,
@AppleSupport It's issue with every iPhone X user. What you will help if i DM you ? either fix issuw with software update or return my money back. iPhone 8 and 8 plus gives better battery life than iPhone X @116333,,,,,,,,,,,,,,,,,,
@AppleSupport @116333 Hello don't you have time to respond ? Worst battery is bugging me daily. Just return my money and take back your pathetic device. 102000 lakh INR and worst battery. Are you kidding me ? @116333,,,,,,,,,,,,,,,,,,
Anyone else's phone possessed by demons after the most recent IOS update? My phone will call/text/facetime/open apps/fav tweets and react to texts without me even touching the screen! @AppleSupport help me out!,,,,,,,,,,,,,,,,,,
@AppleSupport if I sell an apple product can the AppleCare+ be passed over to the buyer?,,,,,,,,,,,,,,,,,,
